timestamp,student_id,attention_status,speech_status,speech_metric_ppm,speech_metric_coherence,speech_metric_prosody_label
2025-10-06T09:00:03.189388,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:00:20.011549,estudiante_03,ATENTO,DIFICULTAD DE FLUIDEZ,94.7,0.82,SURPRISED
2025-10-06T09:00:26.342145,estudiante_04,DISTRACCION,LENGUAJE DESESTRUCTURADO,108.4,0.08,NEUTRAL
2025-10-06T09:00:26.989833,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:00:38.151309,estudiante_01,ATENTO,HABLA FLUIDA,138.9,0.83,FEARFUL
2025-10-06T09:00:58.483627,estudiante_03,OJOS CERRADOS,HABLA LENTA,81.1,0.81,DISGUST
2025-10-06T09:01:09.497398,estudiante_02,SIN ATENCION VISUAL,HABLA LENTA,72.2,0.44,HAPPY
2025-10-06T09:01:09.732276,estudiante_04,OJOS CERRADOS,LENGUAJE DESESTRUCTURADO,99.5,0.06,DISGUST
2025-10-06T09:01:23.625047,estudiante_02,OJOS CERRADOS,HABLA FLUIDA,134.3,0.77,HAPPY
2025-10-06T09:01:27.322054,estudiante_03,DISTRACCION,DIFICULTAD DE FLUIDEZ,108.2,0.8,DISGUST
2025-10-06T09:01:32.189016,estudiante_04,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:01:48.258957,estudiante_03,ATENTO,DIFICULTAD DE FLUIDEZ,134.3,0.8,CALM
2025-10-06T09:01:59.597813,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:02:02.408070,estudiante_02,SIN ATENCION VISUAL,DIFICULTAD DE FORMULACIÓN,98.4,0.57,SURPRISED
2025-10-06T09:02:08.020431,estudiante_04,OJOS CERRADOS,DIFICULTAD DE FORMULACIÓN,107.1,0.75,SAD
2025-10-06T09:02:31.736861,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:02:35.894970,estudiante_03,SIN ATENCION VISUAL,HABLA LENTA,83.8,0.2,HAPPY
2025-10-06T09:02:39.693752,estudiante_01,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:02:56.775817,estudiante_01,ATENTO,HABLA FLUIDA,132.2,0.7,HAPPY
2025-10-06T09:03:00.280305,estudiante_02,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:03:10.040193,estudiante_04,OJOS CERRADOS,ESCUCHANDO...,,,
2025-10-06T09:03:13.514429,estudiante_04,DISTRACCION,LENGUAJE DESESTRUCTURADO,112.9,0.05,SURPRISED
2025-10-06T09:03:19.093043,estudiante_04,OJOS CERRADOS,HABLA LENTA,95.2,0.8,CALM
2025-10-06T09:03:27.797743,estudiante_03,ATENTO,ESCUCHANDO...,,,
2025-10-06T09:03:28.916271,estudiante_01,ATENTO,HABLA FLUIDA,149.1,0.83,NEUTRAL
2025-10-06T09:03:34.197796,estudiante_03,SIN ATENCION VISUAL,DIFICULTAD DE FLUIDEZ,94.2,0.14,ANGRY
2025-10-06T09:03:39.663602,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:03:41.570786,estudiante_02,SIN ATENCION VISUAL,ESCUCHANDO...,,,
2025-10-06T09:03:42.273255,estudiante_02,DISTRACCION,ESCUCHANDO...,,,
2025-10-06T09:03:42.655486,estudiante_04,SIN ATENCION VISUAL,ESCUCHANDO...,,,
